Date Master Listed created: 2014/12/22 11:27:51.56
 
Data Type,Project,Station,Depth,Latitude,Longitude,Start Date,End Date,Deployment Mission,Recovery Mission,Scientist,Agency,Instrument Type,Instrument Model,Pressure,Temperature,Salinity,Oxygen,Transmissivity,Direction,Speed,Percipitation,Fileanme
ThermistorChain,Seymour_Belize4,Frederick Sound,   45.0,51  3.02 N,126 43.93 W,2003/10/26,2004/04/17,2003-39,2004-11,Thomson R.E.,IOS  Ocean Sciences Dvision  Sidney  BC,Aanderra Thermistor Chain,TR2,Y,Y, , , , , , ,\Mooring_Data\Seymour_Belize4\TChain\fs_20031026_20040417_0045m.tch
ThermistorChain,Seymour_Belize4,Frederick Sound,   10.0,51  3.02 N,126 43.93 W,2003/10/26,2004/04/17,2003-39,2004-11,Thomson R.E.,IOS  Ocean Sciences Division  Sidney  BC,Aanderra Thermistor Chain,TR2,Y,Y, , , , , , ,\Mooring_Data\Seymour_Belize4\TChain\fs_20031026_20040417_0010m.tch
CurrentMeter,AMP2-L,SOGS,   53.6,49  1.43 N,123 25.82 W,2011/11/25,2012/04/02,2011-76,2012-19,Johannessen S.,IOS  Ocean Sciences Division  Sidney  B.,Aquadopp Current Meter,AQD 0958,Y,Y, , , ,Y,Y, ,\Mooring_Data\AMP2-L\CurrentMeter\sogs-L_20111125_20120402_0054m.cur
CurrentMeter,AMP2-L,SOGS,  300.0,49  1.43 N,123 25.82 W,2011/11/25,2012/04/02,2011-76,2012-19,Johannessen S.,IOS  Ocean Sciences Division  Sidney  B.,Aquadopp Current Meter,AQD 2649,Y,Y, , , ,Y,Y, ,\Mooring_Data\AMP2-L\CurrentMeter\sogs-L_20111125_20120402_0300m.cur
CurrentMeter,AMP2-L,SOGN,   50.2,49 50.17 N,124 52.24 W,2011/11/27,2012/04/03,2011-76,2012-19,Johannessen S.,IOS  Ocean Sciences Division  Sidney  BC,Aanderaa Current Meter,RCM11, ,Y, , , ,Y,Y, ,\Mooring_Data\AMP2-L\CurrentMeter\sogn-L_20111127_20120403_0050m.cur
CurrentMeter,AMP2-M,SOGS,   56.2,49  1.44 N,123 25.85 W,2012/04/04,2012/07/14,2012-19,2012-57,Johannessen S.,IOS  Ocean Sciences Division  Sidney  B.,Aquadopp Current Meter,AQD 0958,Y,Y, , , ,Y,Y, ,\Mooring_Data\AMP2-M\CurrentMeter\sogs-m_20120404_20120714_0056m.cur
CurrentMeter,AMP2-M,SOGS,  303.0,49  1.44 N,123 25.85 W,2012/04/04,2012/07/14,2012-19,2012-57,Johannessen S.,IOS,Aanderaa Current Meter,RCM11, ,Y, , , ,Y,Y, ,\Mooring_Data\AMP2-M\CurrentMeter\sogs-m_20120404_20120714_0303m.cur
CurrentMeter,AMP2-M,SOGN,   48.2,49 50.17 N,124 52.24 W,2012/04/03,2012/07/15,2012-19,2012-57,Johannessen S.,IOS  Ocean Sciences Division  Sidney  B.,Aanderaa Current Meter,RCM11, ,Y, , , ,Y,Y, ,\Mooring_Data\AMP2-M\CurrentMeter\sogn-m_20120403_20120715_0048m.cur
CurrentMeter,AMP2-N,SOGS,  304.0,49  1.40 N,123 25.85 W,2012/07/16,2012/10/17,2012-57,2012-71,Johannessen S.,IOS  Ocean Sciences Division  Sidney  B.,Aquadopp Current Meter,AQD 0958,Y,Y, , , ,Y,Y, ,\Mooring_Data\AMP2-N\CurrentMeter\sogs-n_20120716_20121017_0304m.cur
CurrentMeter,AMP2-N,SOGN,   49.2,49 50.17 N,124 52.22 W,2012/07/15,2012/10/18,2012-57,2012-71,Johannessen S.,IOS  Ocean Sciences Division  Sidney  BC,Aanderaa Current Meter,RCM11, ,Y, , , ,Y,Y, ,\Mooring_Data\AMP2-N\CurrentMeter\sogn-n_20120715_20121018_0049m.cur
CTD,Laperouse48,A1,  181.5,48 31.78 N,126 12.23 W,2009/05/24,2009/09/22,2009-40,2009-59,Thomson R.E.,IOS  Ocean Sciences Division  Sidney  BC,Sea-Bird SBE37,Sea-Bird SBE37, ,Y,Y, , , , , ,\Mooring_Data\Laperouse48\CTD\A1_20090524_20090922_0182m.ctd
CTD,Laperouse48,A1,  306.5,48 31.78 N,126 12.23 W,2009/05/24,2009/09/22,2009-40,2009-59,Thomson R.E.,IOS  Ocean Sciences Division  Sidney  BC,Sea-Bird SBE37,Sea-Bird SBE37,Y,Y,Y, , , , , ,\Mooring_Data\Laperouse48\CTD\A1_20090524_20090922_0307m.ctd
CTD,Laperouse48,A1,  497.4,48 31.78 N,126 12.23 W,2009/05/24,2009/09/22,2009-40,2009-59,Thomson R.E.,IOS  Ocean Sciences Division  Sidney  BC,Sea-Bird SBE37,Sea-Bird SBE37,Y,Y,Y, , , , , ,\Mooring_Data\Laperouse48\CTD\A1_20090524_20090922_0497m.ctd
